,close,correct,correct_by_close_open,current_close,date,high,incr,incr_by_close_open,low,open,rmse_close
0,20.78,0,0.0,19.86,2020-12-21,20.9,0.58,1,19.83,19.74,
1,18.73,1,1.0,19.14,2020-12-22,19.31,0.42,0,18.39,18.98,
2,18.94,1,0.0,18.96,2020-12-23,19.29,0.69,0,18.49,18.84,
3,19.2,0,1.0,19.22,2020-12-24,19.44,0.53,0,18.88,19.23,-0.66
4,18.98,1,1.0,19.04,2020-12-25,19.13,0.42,0,18.41,18.91,-1.08
5,18.16,1,0.0,18.22,2020-12-29,18.55,0.66,0,17.79,18.27,-0.73
6,18.39,1,1.0,18.28,2020-12-30,18.53,0.52,1,17.87,18.09,-0.55
7,20.79,1,1.0,20.6,2020-12-31,21.49,0.63,1,20.21,20.81,-0.51
8,22.86,0,0.0,22.1,2021-01-04,23.94,0.53,1,21.47,22.32,0.19
9,21.94,0,0.0,21.55,2021-01-05,22.88,0.52,1,21.02,22.02,-0.21
10,19.16,1,0.0,19.48,2021-01-06,19.71,0.68,0,18.82,19.43,-0.86
11,23.1,1,1.0,22.0,2021-01-07,23.87,0.76,1,22.18,22.9,0.59
12,23.87,1,1.0,22.95,2021-01-08,25.15,0.62,1,22.57,23.35,0.41
13,23.93,1,0.0,25.0,2021-01-11,27.02,0.51,0,23.0,25.35,-1.67
15,27.71,-2,,25.3,2021-01-12,27.95,1.08,1,25.69,25.85,1.41
