,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,incr
0,HK.800700,2020-07-27 00:00:00,6918.05,6774.78,7014.84,6677.16,0.0,0.0,0,33996718900.0,-2.0709593021154866,6918.05,0
1,HK.800700,2020-07-28 00:00:00,6930.58,7012.62,7012.62,6902.57,0.0,0.0,0,31258068000.0,3.510667505070278,6774.78,1
2,HK.800700,2020-07-29 00:00:00,6971.98,7085.15,7099.94,6951.1,0.0,0.0,0,27630978100.0,1.0342782012999385,7012.62,1
3,HK.800700,2020-07-30 00:00:00,7160.24,7100.21,7244.19,7083.79,0.0,0.0,0,33183331100.0,0.21255725002294096,7085.15,1
4,HK.800700,2020-07-31 00:00:00,7193.55,7155.03,7285.56,7108.15,0.0,0.0,0,30021155600.0,0.7720898395962895,7100.21,1
5,HK.800700,2020-08-03 00:00:00,7255.44,7292.45,7311.53,7127.2,0.0,0.0,0,37492356900.0,1.920606901718093,7155.03,1
6,HK.800700,2020-08-04 00:00:00,7390.33,7436.59,7448.95,7330.11,0.0,0.0,0,42416721600.0,1.9765648033239904,7292.45,1
7,HK.800700,2020-08-05 00:00:00,7488.74,7547.2,7547.2,7398.66,0.0,0.0,0,38104773600.0,1.4873752620488647,7436.59,1
8,HK.800700,2020-08-06 00:00:00,7579.88,7576.84,7588.85,7420.51,0.0,0.0,0,37406633800.0,0.392728429086288,7547.2,1
9,HK.800700,2020-08-07 00:00:00,7551.8,7386.66,7551.8,7144.76,0.0,0.0,0,70178609200.0,-2.510017368718361,7576.84,0
10,HK.800700,2020-08-10 00:00:00,7279.54,7176.17,7279.54,7119.29,0.0,0.0,0,49962010300.0,-2.8495964346538187,7386.66,0
11,HK.800700,2020-08-11 00:00:00,7217.05,7129.84,7274.64,7085.29,0.0,0.0,0,34138386600.0,-0.6456090087051997,7176.17,0
12,HK.800700,2020-08-12 00:00:00,7086.93,7010.72,7086.93,6833.88,0.0,0.0,0,36322573800.0,-1.6707247287456646,7129.84,0
13,HK.800700,2020-08-13 00:00:00,7116.74,7031.81,7133.18,7008.4,0.0,0.0,0,30799262900.0,0.30082502225163954,7010.72,1
14,HK.800700,2020-08-14 00:00:00,7019.18,7038.26,7091.0,6975.84,0.0,0.0,0,24645903300.0,0.09172602786480036,7031.81,1
15,HK.800700,2020-08-17 00:00:00,7037.86,7075.03,7117.17,7004.77,0.0,0.0,0,30808865651.0,0.5224302597516933,7038.26,1
16,HK.800700,2020-08-18 00:00:00,7147.73,7196.01,7196.01,7075.06,0.0,0.0,0,43286242318.0,1.7099574136081468,7075.03,1
17,HK.800700,2020-08-19 00:00:00,7187.71,7150.41,7251.57,7131.43,0.0,0.0,0,30192498414.0,-0.6336845001605107,7196.01,0
18,HK.800700,2020-08-20 00:00:00,7183.25,7167.6,7183.25,7060.78,0.0,0.0,0,30889528746.0,0.24040579491246672,7150.41,1
19,HK.800700,2020-08-21 00:00:00,7205.57,7168.87,7208.73,7104.01,0.0,0.0,0,39589425093.0,0.01771862269099178,7167.6,1
20,HK.800700,2020-08-24 00:00:00,7247.6,7329.91,7332.19,7198.76,0.0,0.0,0,56436028552.0,2.2463791364608365,7168.87,1
21,HK.800700,2020-08-25 00:00:00,7348.1,7223.67,7355.49,7153.69,0.0,0.0,0,44702265398.0,-1.4494038808116305,7329.91,0
22,HK.800700,2020-08-26 00:00:00,7311.5,7275.44,7326.57,7219.82,0.0,0.0,0,46129333343.0,0.7166717194999153,7223.67,1
23,HK.800700,2020-08-27 00:00:00,7352.09,7540.86,7574.23,7311.0,0.0,0.0,0,53847079197.0,3.6481642347404435,7275.44,1
24,HK.800700,2020-08-28 00:00:00,7521.87,7580.9,7745.92,7430.02,0.0,0.0,0,59077048315.0,0.5309739207464397,7540.86,1
25,HK.800700,2020-08-31 00:00:00,7746.63,7543.86,7771.28,7543.86,0.0,0.0,0,51557261448.0,-0.4885963408038619,7580.9,0
26,HK.800700,2020-09-01 00:00:00,7556.9,7674.71,7683.66,7526.33,0.0,0.0,0,43257921707.0,1.734523175138462,7543.86,1
27,HK.800700,2020-09-02 00:00:00,7874.07,7909.39,7909.39,7764.78,0.0,0.0,0,47394135603.0,3.0578354100676153,7674.71,1
