,close,correct,correct_by_close_open,current_close,date,high,incr,incr_by_close_open,low,open,rmse_close
0,28.66,0,0.0,28.8,2020-12-21,29.37,0.16,0,27.82,28.54,
1,30.0,1,1.0,29.3,2020-12-22,30.5,0.98,1,29.18,29.7,
2,29.77,1,1.0,29.65,2020-12-23,30.48,0.71,1,29.2,29.81,
3,32.2,1,1.0,31.9,2020-12-24,33.02,0.81,1,31.23,32.59,-0.27
4,31.85,1,1.0,32.45,2020-12-25,33.26,-0.03,0,31.24,32.47,-1.2
5,31.96,1,1.0,31.35,2020-12-29,32.96,0.78,1,30.77,31.44,0.12
6,32.36,1,1.0,32.15,2020-12-30,33.7,0.86,1,31.4,32.4,-0.4
7,32.85,0,0.0,32.95,2020-12-31,33.87,0.24,0,31.91,32.95,-0.62
8,33.52,1,1.0,33.2,2021-01-04,34.19,0.74,1,32.9,33.63,-0.22
9,34.6,0,0.0,35.25,2021-01-05,35.74,0.23,0,33.81,35.1,-1.19
10,34.82,1,1.0,35.3,2021-01-06,36.28,-0.31,0,33.91,35.1,-1.07
11,34.78,0,0.0,33.9,2021-01-07,35.56,0.52,1,33.78,34.35,0.31
12,32.15,1,0.0,32.0,2021-01-08,33.1,0.46,1,31.69,32.08,-0.39
13,33.07,1,1.0,31.95,2021-01-11,33.42,1.44,1,31.73,31.82,0.5
14,32.37,1,1.0,32.05,2021-01-12,33.02,1.08,1,31.72,32.46,-0.21
15,33.79,0,0.0,33.45,2021-01-13,34.7,1.16,1,32.89,33.91,-0.22
16,32.58,1,1.0,33.0,2021-01-14,33.67,0.07,0,31.42,32.49,-0.93
17,32.86,0,0.0,32.65,2021-01-15,33.42,0.73,1,31.67,32.36,-0.38
18,28.77,0,0.0,29.3,2021-01-18,30.04,0.14,0,28.81,29.5,-1.11
20,29.59,-2,,29.9,2021-01-19,30.38,0.61,0,28.98,29.86,-0.97
